veri_id,veri_adi,grup_id,senaryo_aciklamasi
16,Akademisyen Sayısı,6,"""Akademisyen Sayısı"", bir ilde bulunan üniversiteler ve bunlara bağlı yükseköğretim kurumlarında tam zamanlı olarak görev yapan Profesör, Doçent, Doktor Öğretim Üyesi, Öğretim Görevlisi ve Araştırma Görevlisi gibi tüm akademik personelin toplam sayısını ifade eden bir beşeri sermaye göstergesidir. Bu metrik, ilin mevcut ""beyin gücü"" stokunu, bilimsel araştırma ve geliştirme (AR-GE) yapma kapasitesini ve yüksek düzeyde bilgi üretme potansiyelini doğrudan ölçer. Yüksek bir akademisyen sayısı, o ilde sanayinin danışmanlık alabileceği, ortak projeler yürütebileceği ve nitelikli personel temin edebileceği zengin bir uzman havuzunun varlığına işaret eder. Bu nedenle, özellikle ""İleri Teknoloji ve AR-GE Merkezi"" gibi senaryolarda, ilin inovasyon ekosisteminin temel direklerinden biri olarak kabul edilir ve ""Lisans Üstü Öğrenci Sayısı"" metriğini tamamlayarak hem mevcut hem de gelecekteki yetenek potansiyelini bütünsel bir şekilde ortaya koyar."
17,Kişi Başına Düşen GSYİH,11,"""Kişi Başına Düşen GSYİH"" (Gayrisafi Yurt İçi Hasıla), bir ilin belirli bir yılda ürettiği toplam ekonomik değerin, o ilin toplam nüfusuna bölünmesiyle elde edilen ve bölgedeki ortalama refah seviyesi ile ekonomik verimliliği ölçen temel bir makroekonomik göstergedir. TÜİK tarafından hesaplanan ilin toplam GSYİH değerinin, yine TÜİK tarafından açıklanan yıl ortası toplam nüfusuna bölünmesiyle bulunur ve genellikle TL veya karşılaştırma için Dolar cinsinden ifade edilir. Yüksek bir kişi başına düşen GSYİH değeri, o ildeki ekonominin yüksek katma değer ürettiğine, verimli olduğuna ve halkın ortalama gelir düzeyinin ve alım gücünün yüksek olduğuna işaret eder. Bu durum, o ili yeni yatırımlar için hem güçlü bir pazar hem de sağlam bir ekonomik temel sunması açısından çekici hale getirir."
18,Ar-Ge Merkezi Sayısı,14,"""Ar-Ge Merkezi Sayısı"", bir ilde, Türkiye Cumhuriyeti Sanayi ve Teknoloji Bakanlığı tarafından 5746 sayılı kanun kapsamında belirli kriterleri karşılayarak tescil edilmiş ve aktif olarak faaliyet gösteren resmi Ar-Ge merkezi sayısını ifade eden bir inovasyon göstergesidir. Bu metrik, ildeki özel sektör firmalarının teknoloji ve yenilik geliştirmeye yönelik yaptıkları kurumsal yatırımın en somut ölçütüdür. Yüksek bir Ar-Ge merkezi sayısı, o ilde sadece fikirlerin değil, aynı zamanda bu fikirleri ürüne dönüştürme kapasitesine sahip, teknoloji odaklı bir sanayi ekosisteminin varlığına ve özel sektör tarafından istihdam edilen önemli bir araştırmacı ve mühendis havuzuna işaret eder. Bu nedenle, ilin inovasyon kapasitesini ve teknoloji üretme potansiyelini ölçerken, ""Patent Sayısı"" gibi çıktı odaklı metrikleri ve ""Akademisyen Sayısı"" gibi akademik potansiyel metriklerini tamamlayan kritik bir kurumsal yetkinlik göstergesi olarak kabul edilir."
19,Tasarım Merkezi Sayısı,14,"""Tasarım Merkezi Sayısı"", bir ilde, Ar-Ge Merkezleri gibi, Türkiye Cumhuriyeti Sanayi ve Teknoloji Bakanlığı tarafından 5746 sayılı kanun kapsamında tescil edilmiş ve aktif olarak faaliyet gösteren resmi Tasarım Merkezi sayısını ifade eden bir inovasyon ve sanayi yetkinliği göstergesidir. Bu metrik, ildeki firmaların sadece teknolojik araştırma ve geliştirmeye değil, aynı zamanda endüstriyel tasarım, ürün estetiği, kullanıcı deneyimi (UX) ve markalaşma gibi katma değeri yüksek faaliyetlere yaptıkları kurumsal yatırımı ölçer. Yüksek bir sayı, o ilde ürünlerin sadece işlevsel değil, aynı zamanda estetik ve kullanıcı odaklı olarak geliştirildiği, rekabet gücü yüksek bir sanayi kültürünün varlığına işaret eder. Bu nedenle, ""Ar-Ge Merkezi Sayısı"" metriğini tamamlayarak, bir ilin inovasyon ekosisteminin hem teknolojik derinliğini hem de tasarımsal ve pazara yönelik yetkinliğini bütünsel bir bakış açısıyla ortaya koyar."
20,Teknoloji Geliştirme Bölgesi Sayısı,14,"""Teknoloji Geliştirme Bölgesi Sayısı"", bir ilde, 4691 sayılı kanun uyarınca kurulan ve genellikle ""Teknopark"" olarak bilinen, teknoloji odaklı firmaları, araştırma kurumlarını ve üniversiteleri aynı çatı altında buluşturarak sinerji yaratmayı amaçlayan özel bölgelerin toplam sayısını ifade eder. Bu metrik, ildeki organize inovasyon ekosisteminin ve teknoloji altyapısının en önemli göstergesidir. Bir TGB'nin varlığı, o ilde teknoloji firmaları için tasarlanmış fiziksel altyapının, kuluçka merkezlerinin, teknoloji transfer ofislerinin ve girişimcilik kültürünün bulunduğuna işaret eder. Dolayısıyla, ""Ar-Ge Merkezi Sayısı"" gibi bireysel firma yetkinliklerinin ötesinde, ilin bir bütün olarak teknoloji ve inovasyon için ne kadar çekici ve destekleyici bir merkez olduğunu ölçen makro düzeyde bir gösterge olarak kabul edilir."
21,Patent Başvurusu Sayısı,14,"""Patent Başvurusu Sayısı"", bir ilde yerleşik kişi veya kurumlar tarafından son on yıllık dönemde Türk Patent ve Marka Kurumu'na (TÜRKPATENT) yapılmış olan toplam patent başvurusu adedini ifade eden, en somut inovasyon çıktısı göstergelerinden biridir. Bu metrik, bir ildeki teknolojik buluş yapma kapasitesini, AR-GE faaliyetlerinin verimliliğini ve fikri mülkiyet bilincini doğrudan ölçer. Yüksek bir başvuru sayısı, o ilde sadece teorik bilgi üretilmediğini, aynı zamanda bu bilginin sanayiye uygulanabilir, yeni ve özgün ürün veya süreçlere dönüştürüldüğünün güçlü bir kanıtıdır. Bu nedenle, bir ilin teknoloji üretme ve bu teknolojiyi ekonomik bir değere dönüştürme potansiyelini analiz ederken, ""Akademisyen Sayısı"" gibi girdi odaklı metrikleri tamamlayan, en önemli sonuç ve çıktı odaklı göstergelerden biri olarak kabul edilir."
22,Faydalı Model Başvuru Sayısı,14,"""Faydalı Model Başvuru Sayısı"", bir ilde yerleşik kişi veya kurumlar tarafından son on yıllık dönemde Türk Patent ve Marka Kurumu'na (TÜRKPATENT) yapılmış olan toplam faydalı model başvurusu adedini ifade eder. Genellikle ""küçük patent"" olarak da bilinen faydalı model, patentten farklı olarak ""buluş basamağı"" (aşikar olmama) kriterini aramaz ve daha çok mevcut ürünler üzerinde yapılan pratik geliştirme ve iyileştirmeleri koruma altına alır. Bu metrik, özellikle KOBİ'lerin (Küçük ve Orta Büyüklükteki İşletmeler) ve imalat sanayinin tabana yayılmış yenilikçilik kapasitesini ve pratik problem çözme yeteneğini ölçmek için son derece değerli bir göstergedir. Yüksek bir sayı, ildeki sanayinin sadece büyük buluşlar peşinde olmadığını, aynı zamanda sürekli olarak ürün ve süreçlerini daha verimli ve kullanışlı hale getirme çabası içinde olduğunu gösterir."
23,İhracat Performans Puanı,11,"""İhracat Performans Puanı"", bir ilin ürettiği mal ve hizmetleri uluslararası pazarlara satma kapasitesini ve küresel rekabet gücünü ölçen bir ekonomik performans göstergesidir. Bu skor genellikle, ilin toplam ihracat değerinin (Dolar bazında) yanı sıra, kişi başına düşen ihracat miktarı, ihraç edilen ürün çeşitliliği ve toplam ihracat içindeki yüksek teknolojili ürünlerin payı gibi birden fazla faktörün birleştirilmesiyle oluşturulur. Yüksek bir ihracat skoru, o ildeki sanayi ve tarım sektörlerinin uluslararası standartlarda üretim yapabildiğini, güçlü bir lojistik altyapısına sahip olduğunu ve küresel ekonomiyle entegre, dinamik bir iş ortamı barındırdığını gösterir. Bu durum, ilin ekonomik yapısının sağlamlığının ve dış pazarlara yönelik üretim yetkinliğinin en önemli kanıtlarından biridir."
24,"Sosyoekonomik Gelişim Endeksi ",5,"""Sosyoekonomik Gelişim Endeksi"" (SEGE), Türkiye Cumhuriyeti Sanayi ve Teknoloji Bakanlığı tarafından hazırlanan ve ülkedeki illeri çok sayıda farklı değişkeni kullanarak bütüncül bir gelişmişlik düzeyine göre sıralayan kapsamlı bir kompozit göstergedir. Bu endeks, bir ilin sadece ekonomik büyüklüğünü değil, aynı zamanda demografi, istihdam, eğitim, sağlık, rekabetçilik, mali durum ve yaşam kalitesi gibi birçok ana boyuttaki performansını bir araya getirir. Yüksek bir SEGE skoru veya sıralaması, o ilin ekonomik olarak müreffeh, altyapısal olarak gelişmiş, beşeri sermayesi güçlü ve yaşam standartları yüksek, çok yönlü bir yapıya sahip olduğunu gösterir. Bu nedenle, bir ilin genel yatırım ikliminin ne kadar elverişli ve sürdürülebilir olduğunun en bütüncül ve en muteber ölçütlerinden biri olarak kabul edilir ve yatırımcılar için genel risk ve fırsat seviyesini anlamada kilit bir rol oynar."
25,Asayiş & Güvenli Şehirler Endeksi,5,"""Asayiş ve Güvenli Şehirler Endeksi"", bir ildeki genel kamu düzenini, güvenlik seviyesini ve sosyal istikrarı ölçmeyi amaçlayan kompozit bir göstergedir. Bu endeks, genellikle o ilde yüz bin kişi başına düşen suç oranları (cinayet, hırsızlık, yaralama vb.), trafik kazası sayıları ve benzeri asayiş olaylarının istatistiksel verilerinin bir araya getirilmesiyle oluşturulur. Yüksek bir skor, ilin düşük suç oranlarına sahip, öngörülebilir ve güvenli bir sosyal çevre sunduğunu gösterir. Bu durum, sadece vatandaşlar için yüksek bir yaşam kalitesi anlamına gelmekle kalmaz, aynı zamanda işletmeler için daha düşük operasyonel risk, daha güvenli bir tedarik zinciri ve özellikle nitelikli personeli bölgeye çekme ve elde tutma konusunda önemli bir rekabet avantajı sağlar."
26,Yaşam Kalitesi Endeksi,5,"""Yaşam Kalitesi Endeksi"", bir ildeki bireylerin genel refahını, mutluluğunu ve memnuniyetini ölçmek amacıyla oluşturulan çok boyutlu kompozit bir göstergedir. Bu endeks, kişi başına düşen GSYİH gibi sadece ekonomik faktörleri değil, aynı zamanda eğitim olanakları, sağlık hizmetlerine erişim, konut kalitesi, çevresel temizlik, güvenlik ve asayiş durumu, kültürel ve sosyal yaşamın canlılığı gibi hayatın farklı alanlarındaki performansı bir araya getirir. Yüksek bir yaşam kalitesi skoru, o ilin sadece iş yapmak için değil, aynı zamanda yaşamak, aile kurmak ve sosyal hayata katılmak için de son derece elverişli bir ortam sunduğunu gösterir. Bu nedenle, özellikle ""İleri Teknoloji ve AR-GE Merkezi"" gibi, dünyanın dört bir yanından en nitelikli yetenekleri çekmeyi ve elde tutmayı gerektiren yatırımlar için en önemli çekim faktörlerinden ve rekabet avantajlarından biri olarak kabul edilir."
27,Elektrik Altyapısı Skoru,4,"""Elektrik Altyapısı Skoru"", bir ilin sanayi ve üretim faaliyetlerini destekleme konusundaki elektrik şebekesinin genel kapasitesini, güvenilirliğini ve kalitesini ölçen kompozit bir göstergedir. Bu skor, genellikle TEİAŞ tarafından yayınlanan bölgenin gelecekteki ""bağlanabilir kapasitesi (MW)"", mevcut sanayi elektrik tüketiminin yüksekliği (şebekenin mevcut yüke dayanıklılığını gösterir) ve enerji dağıtım bedellerinin düşüklüğü (verimli bir dağıtım ağını işaret eder) gibi birden fazla teknik ve operasyonel metriğin birleştirilmesiyle oluşturulur. Yüksek bir skor, ilin yeni kurulacak büyük ölçekli ve enerji-yoğun tesislere (Giga-Fabrikalar, elektrolizörler vb.) kesintisiz ve yeterli enerjiyi sağlayabilecek sağlam bir altyapıya sahip olduğunu gösterir. Bu durum, yatırımcılar için üretim kesintisi riskini en aza indiren ve operasyonel verimliliği garanti eden en temel ve en kritik faktörlerden biri olarak kabul edilir."
28,Limana Yakınlık,10,"""Limana Yakınlık"", bir ilin ana ekonomik merkezinden (genellikle en büyük Organize Sanayi Bölgesi veya il merkezi), uluslararası ticaret için kritik öneme sahip olan en yakın büyük konteyner veya dökme yük limanına olan karayolu mesafesini (km) ifade eden bir lojistik altyapı göstergesidir. Bu metrik, bir ilin küresel tedarik zincirlerine ne kadar verimli bir şekilde entegre olabildiğini doğrudan ölçer. Düşük bir mesafe, hem üretim için gerekli hammaddelerin ithalatında hem de üretilen nihai ürünlerin ihracatında daha düşük taşıma maliyetleri, daha kısa sevkiyat süreleri ve daha az lojistik risk anlamına gelir. Bu nedenle, özellikle ""Giga-Fabrika"" ve ""Yeşil Hidrojen"" gibi ihracat potansiyeli yüksek yatırım senaryoları için en kritik rekabet avantajlarından biri olarak kabul edilir ve ilin dış ticaret kapasitesinin temel belirleyicisidir."
29,Havaalanına Yakınlık,10,"""Havaalanına Yakınlık"", bir ilin ana ekonomik merkezinden, özellikle uluslararası uçuşlara ve kargo hizmetlerine sahip en yakın havalimanına olan karayolu mesafesini (km) ifade eden bir lojistik ve erişilebilirlik göstergesidir. Bu metrik, ilin ulusal ve uluslararası ulaşım ağına ne kadar hızlı bağlandığını ölçer. Düşük bir mesafe, yöneticilerin, nitelikli personelin ve müşterilerin seyahat kolaylığını artırırken; elektronik, medikal ürünler gibi yüksek değerli veya acil ihtiyaç duyulan kargoların hızlı bir şekilde sevk edilmesine olanak tanır. Bu nedenle, ""Limana Yakınlık"" metriği ağır sanayi ve emtia ticareti için kritikken, ""Havaalanına Yakınlık"" özellikle ""İleri Teknoloji ve AR-GE Merkezi"" gibi ""beyin gücü"" odaklı ve küresel etkileşim gerektiren yatırım senaryoları için hayati bir rekabet avantajı olarak kabul edilir."
30,Karayolu Uzunluğu,10,"Karayolu Uzunluğu"", bir ilin sınırları içerisinde yer alan otoyol, bölünmüş yol, devlet ve il yolu gibi tüm karayolu ağının toplam uzunluğunu kilometre (km) cinsinden ifade eden bir fiziksel altyapı göstergesidir. Bu metrik, sadece toplam uzunluğu değil, aynı zamanda bu ağın kalitesini de yansıtır; özellikle yüksek hızlı ve yüksek kapasiteli olan ""otoyol"" ve ""bölünmüş yol"" uzunlukları, ilin yurt içi lojistik kapasitesinin en önemli belirleyicisidir. Yüksek ve kaliteli bir karayolu ağı, hammadde ve nihai ürünlerin ülke içinde hızlı, düşük maliyetli ve güvenli bir şekilde taşınmasını sağlayarak yatırım ortamını iyileştirir. Bu verinin, ilin yüzölçümüne bölünmesiyle elde edilen ""Yol Yoğunluğu"" ise, farklı büyüklükteki iller arasında daha adil bir karşılaştırma yapılmasına olanak tanır ve altyapının ne kadar yaygın olduğunu gösterir."
31,Yatırım Teşvik Endeksi,12,"""Yatırım Teşvik Endeksi"", bir ilin, Türkiye Cumhuriyeti Sanayi ve Teknoloji Bakanlığı tarafından yönetilen Yatırım Teşvik Sistemi kapsamında hangi gelişmişlik bölgesinde yer aldığını ve dolayısıyla yatırımcıların o ilde ne düzeyde devlet desteğinden faydalanabileceğini gösteren bir skordur. Bu sistem, illeri genellikle 1. Bölge'den (en gelişmiş, en az teşvik) 6. Bölge'ye (en az gelişmiş, en çok teşvik) kadar sınıflandırır ve yatırımcılara KDV istisnası, gümrük vergisi muafiyeti, vergi indirimi, SGK primi işveren hissesi desteği ve bedelsiz yatırım yeri tahsisi gibi çeşitli avantajlar sunar. Yüksek bir endeks puanı (yani, 5. veya 6. bölgede yer almak), o ilde yapılacak bir yatırımın başlangıç sermaye ve işletme maliyetlerinin devlet destekleriyle önemli ölçüde azalacağını, projenin karlılığının artacağını ve finansal riskinin düşeceğini ifade eder. Bu nedenle, bir yatırımın fizibilitesini ve geri dönüş süresini doğrudan etkileyen en önemli finansal metriklerden biridir."
32,15-29 Yaş Nüfus Oranı,1,"""15-29 Yaş Nüfus Oranı"", bir ilin toplam nüfusu içinde, genellikle ""genç nüfus"" olarak kabul edilen 15 ile 29 yaş aralığındaki bireylerin yüzdesini ifade eden temel bir demografik göstergedir. Bu oran, ildeki 15-29 yaş aralığındaki toplam kişi sayısının, o ilin genel toplam nüfusuna bölünmesi ve 100 ile çarpılmasıyla hesaplanır. Yüksek bir oran, ilin demografik olarak genç, dinamik ve büyüyen bir yapıya sahip olduğunu gösterir. Bu durum, yeni yatırımlar için hem eğitilebilir geniş bir işgücü arzı hem de yeni ürün ve hizmetler için potansiyel bir tüketici pazarı anlamına gelir ve bölgenin uzun vadeli işgücü sürdürülebilirliği açısından önemli bir avantaj olarak kabul edilir."
